,House,Townhouse,Apartment,Caravan,Cabin,Improvised,Shop attached,Not stated,
Caravan/residential park or camping ground,"3,880",579,438,"52,577","19,675","3,007",414,"4,579",
Marina,6,0,0,0,"1,978",0,11,0,
Manufactured home estate,"6,309","1,003",38,317,"1,547",0,8,91,
Retirement village (self-contained),"59,846","96,980","50,353",252,"1,132",3,490,393,
Other(c) ,"7,554,378","1,279,555","1,641,733","5,005","5,038","8,596","22,188","29,803",
